media_id,split,request_start_utc,request_end_utc,latency_seconds,attempt_count,first_attempt_success,http_ok,status_code,error_type
IMG_003703,DEV,,,1.6228694915771484,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003704,DEV,,,1.6079349517822266,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003705,DEV,,,1.713064432144165,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003706,DEV,,,1.4361193180084229,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003707,DEV,,,1.5383656024932861,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003708,DEV,,,1.660003423690796,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003709,DEV,,,1.6665127277374268,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003710,DEV,,,1.678877830505371,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004011,DEV,,,1.4558908939361572,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003711,DEV,,,1.5633816719055176,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003712,DEV,,,1.4774062633514404,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003713,DEV,,,1.5401463508605957,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003714,DEV,,,1.6773114204406738,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003715,DEV,,,1.5345633029937744,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003716,DEV,,,1.6679801940917969,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003717,DEV,,,1.4528741836547852,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003718,DEV,,,1.8154845237731934,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003719,DEV,,,1.4973087310791016,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003720,DEV,,,1.4927489757537842,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004012,DEV,,,1.556704044342041,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003721,DEV,,,1.5817341804504395,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003722,DEV,,,1.479778528213501,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003723,DEV,,,2.066457748413086,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003724,DEV,,,1.496182918548584,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003725,DEV,,,1.643256664276123,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003726,DEV,,,1.5280885696411133,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003727,DEV,,,1.6339168548583984,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003728,DEV,,,1.3956904411315918,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003729,DEV,,,1.468141794204712,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003730,DEV,,,1.6888697147369385,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004013,DEV,,,1.5311262607574463,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003731,DEV,,,1.669081211090088,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003732,DEV,,,1.4576542377471924,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003733,DEV,,,1.4483273029327393,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003734,DEV,,,1.7689149379730225,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003735,DEV,,,1.5424284934997559,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003736,DEV,,,2.0431931018829346,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003737,DEV,,,1.7397427558898926,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
