scope,component,count,mean,median,p50,p90,p95,max
P2L_A_ATTEMPT_001,prompt_eval_ratio,1,0.017822846179606066,0.017822846179606066,0.017822846179606066,0.017822846179606066,0.017822846179606066,0.017822846179606066
P2L_A_ATTEMPT_001,eval_ratio,1,0.06093490946450971,0.06093490946450971,0.06093490946450971,0.06093490946450971,0.06093490946450971,0.06093490946450971
CURRENT_C3_WARM_A_LOW_PLUS_C,client,39,1.5206851025641026,1.450764,1.450764,1.7641564,1.7963658,1.910301
CURRENT_C3_WARM_A_LOW_PLUS_C,total,39,1.5130028641282052,1.43953193,1.43953193,1.7557647943999999,1.7886070002,1.902706781
CURRENT_C3_WARM_A_LOW_PLUS_C,load,39,0.46799830812820514,0.462902981,0.462902981,0.5038217468,0.5072095518999999,0.554933283
CURRENT_C3_WARM_A_LOW_PLUS_C,prompt_eval,39,0.07795420105128205,0.048453196,0.048453196,0.1342247698,0.1404130586,0.154302851
CURRENT_C3_WARM_A_LOW_PLUS_C,eval,39,0.4744438915128205,0.442066339,0.442066339,0.6033980258,0.6368703233,0.719612717
CURRENT_C3_WARM_A_LOW_PLUS_C,client_overhead,39,0.007682238435897443,0.007231639999999873,0.007231639999999873,0.00806351760000017,0.008626581200000039,0.021291921999999852
CURRENT_C3_WARM_A_LOW_PLUS_C,load_ratio,39,0.3118776961809915,0.3173499856773569,0.3173499856773569,0.34057954602342033,0.3462043084077841,0.35352245285118283
CURRENT_C3_WARM_A_LOW_PLUS_C,prompt_eval_ratio,39,0.04965068764547666,0.03442472242338812,0.03442472242338812,0.08555785388387599,0.08969693518046128,0.09904829614360311
CURRENT_C3_WARM_A_LOW_PLUS_C,eval_ratio,39,0.3128208132692386,0.31101059580768947,0.31101059580768947,0.34330156045075005,0.3587418142348597,0.3782047366340888
